gene_id	gene_short_name	nonpomc_0	nonpomc_1	nonpomc_2	nonpomc_3	pomc_0	pomc_1	pomc_2	pomc_3
0610005C13Rik	0610005C13Rik	0.183461	0.166891	0.313357	0.396482	0.736054	0.192517	0.459469	0.261001
0610007C21Rik	0610007C21Rik	45.5641	44.3037	52.4309	50.8238	25.7699	20.8156	17.3171	23.8719
0610007L01Rik	0610007L01Rik	16.2026	15.2502	16.7726	16.8854	12.9603	11.298	12.9438	12.593
0610007N19Rik	0610007N19Rik	3.44052	3.73847	2.95052	3.02187	2.62749	1.86915	1.38412	3.12375
0610007P08Rik	0610007P08Rik	4.47361	5.27595	6.66953	5.52634	7.1372	9.17998	11.7199	8.24535
0610007P14Rik	0610007P14Rik	33.6565	34.1087	37.0677	37.1734	13.5638	12.448	10.3515	13.1063
0610007P22Rik	0610007P22Rik	29.4923	27.3791	24.3009	27.2528	20.1953	14.9723	11.0211	16.4636
0610008F07Rik	0610008F07Rik	0	0	0	0	0	0	0	0
0610009B14Rik	0610009B14Rik	0.0391738	0	0.217816	0.0301804	0	0	0.0648296	0.459824
0610009B22Rik	0610009B22Rik	49.3763	57.015	68.7548	50.6499	11.9762	6.62234	8.51639	6.55258
0610009D07Rik	0610009D07Rik	62.0176	81.602	87.3948	79.425	59.5484	51.0551	46.5174	53.4169
0610009L18Rik	0610009L18Rik	14.6719	10.1502	9.57102	8.90639	3.65004	2.27043	1.26779	3.48709
0610009O20Rik	0610009O20Rik	10.8537	10.6235	8.92348	10.5864	8.70155	10.0892	7.52601	10.6007
0610010B08Rik	0610010B08Rik	0.345753	0.357486	0.418075	0.494411	0.643812	0.996862	0.592048	0.906319
0610010F05Rik	0610010F05Rik	13.8327	15.8533	21.9161	16.1093	22.0573	26.1906	34.0908	28.8095
0610010K14Rik	0610010K14Rik	50.8092	51.7504	42.2319	44.8345	10.2592	9.49342	3.74794	8.28474
0610010O12Rik	0610010O12Rik	88.4563	71.8489	60.7808	72.4703	48.9119	20.0755	11.0158	24.2735
0610011F06Rik	0610011F06Rik	79.4107	67.5762	61.6578	69.6671	24.5465	15.0123	10.3907	19.2223
0610011L14Rik	0610011L14Rik	11.5596	11.7806	9.65977	11.8271	6.54791	10.1399	8.02967	9.04534
0610012G03Rik	0610012G03Rik	38.6979	40.2171	41.2853	43.7171	14.4731	11.0819	7.02224	13.3039
0610012H03Rik	0610012H03Rik	0	0	0.0227909	0	0	0	0.116884	0
0610030E20Rik	0610030E20Rik	5.2957	5.59509	5.40818	5.7122	4.61589	4.53412	4.59675	5.81793
0610031J06Rik	0610031J06Rik	11.4709	11.1624	7.89404	9.26642	5.44296	6.1099	4.94843	6.44202
0610031O16Rik	0610031O16Rik	0	0	0	0	0	0	0	0
0610037L13Rik	0610037L13Rik	24.292	24.0039	26.0384	24.0923	8.4917	5.92572	5.44223	7.03674
0610037P05Rik	0610037P05Rik	51.2473	61.3383	68.5993	57.1233	10.7338	10.3106	10.6742	10.6979
0610038B21Rik	0610038B21Rik	0.158604	0.143523	0.0845229	0.164105	0.775964	0.370174	0.147342	0.962675
0610038L08Rik	0610038L08Rik	0.790431	0.96702	0.779249	1.10873	2.7178	2.34421	2.80383	2.6611
0610039K10Rik	0610039K10Rik	2.75342	2.43603	2.32495	2.25648	8.68061	6.16327	3.33923	7.10181
0610040B10Rik	0610040B10Rik	10.6951	14.5898	13.1461	10.9419	4.82093	10.8613	4.59888	2.02929
0610040F04Rik	0610040F04Rik	1.30484	0.977502	1.09099	1.4997	1.03308	0.397084	1.44009	2.63381
0610040J01Rik	0610040J01Rik	1.41012	1.32102	1.43541	1.22139	0.600928	0.666957	0.342278	0.387503
0610043K17Rik	0610043K17Rik	0.89231	1.4435	0.95792	0.863678	14.2486	5.62815	8.54057	11.5001
0910001L09Rik	0910001L09Rik	57.7031	51.0753	55.1467	52.8602	8.73923	8.31849	2.99173	7.91533
100043387	100043387	0.669234	1.00541	0.645172	0.382898	1.45086	0.476059	0.619872	0.937828
1100001G20Rik	1100001G20Rik	0	0	0	0	0	0	0	0
1110001A16Rik	1110001A16Rik	19.7685	21.4804	25.7404	24.1362	14.9895	10.2345	9.75506	13.5325
1110001J03Rik	1110001J03Rik	139.97	113.839	112.582	130.51	18.3728	11.6268	7.24413	11.808
1110002B05Rik	1110002B05Rik	55.3438	62.6798	80.2287	56.9615	14.9902	13.0335	10.091	10.0665
1110002L01Rik	1110002L01Rik	28.7129	32.0495	32.3803	32.1775	20.535	20.9431	23.9587	20.5507
1110002N22Rik	1110002N22Rik	5.04658	6.1634	7.09352	6.40232	2.51956	3.8168	3.65631	3.30276
1110003E01Rik	1110003E01Rik	91.6763	98.7058	104.322	94.9836	33.9993	26.0036	21.1907	29.2295
