Gene Id	Gene Name	Sample_78648	Sample_78650	Sample_78652	Sample_78654	Sample_78647	Sample_78649	Sample_78651	Sample_78653
0610005C13Rik	0610005C13Rik	6	5	13	17	9	2.00018	10	4.00022
0610007C21Rik	0610007C21Rik	1245	986	1514	1699	238.001	156	204	252
0610007L01Rik	0610007L01Rik	1862	1406	1967	2248	535	502	760	698
0610007N19Rik	0610007N19Rik	168	144	146	167	37	22	22	44
0610007P08Rik	0610007P08Rik	938	807	1048	1196	397	387	616	544
0610007P14Rik	0610007P14Rik	1062	845	1204	1379	134	114	117	156
0610007P22Rik	0610007P22Rik	897.947	781.988	942	1104	275	236.995	308	307
0610008F07Rik	0610008F07Rik	0	0	0	0	0	0	0	0
0610009B14Rik	0610009B14Rik	1	0	7	1	0	0	1	6
0610009B22Rik	0610009B22Rik	960	852	1121	1086	69	37	53	54
0610009D07Rik	0610009D07Rik	1907	1808	2103	2412	491	351	385	469
0610009L18Rik	0610009L18Rik	182	124	194	162	21	17	22	27
0610009O20Rik	0610009O20Rik	864	781	965	1134	298	324	432.001	417
0610010B08Rik	0610010B08Rik	60	43	46	82	26	26	16	34
0610010F05Rik	0610010F05Rik	2029	1593	2104	2301	742	638	984	975
0610010K14Rik	0610010K14Rik	984	955	1101	1192	94	96	74	120
0610010O12Rik	0610010O12Rik	996	804	1174	1184	276	163	158	203
0610011F06Rik	0610011F06Rik	1588	1285	1675	1927	239	164	187	231
0610011L14Rik	0610011L14Rik	1380	1184	1332	1763	305	420	500	528
0610012G03Rik	0610012G03Rik	1571	1413	1856	2147	229	226	216	274
0610012H03Rik	0610012H03Rik	0	0	1	0	0	0	2	0
0610030E20Rik	0610030E20Rik	829	668	809	1004	240	222	296	346
0610031J06Rik	0610031J06Rik	485	418	474	551	94	125	140	142
0610031O16Rik	0610031O16Rik	0	0	0	0	0	0	0	0
0610037L13Rik	0610037L13Rik	1141	935	1258	1362	148	94	134	165
0610037P05Rik	0610037P05Rik	2187	1859	2305	2521	142	103	120	160
0610038B21Rik	0610038B21Rik	5	5	5	8	13	13	12	25
0610038L08Rik	0610038L08Rik	33	33	34	54	48	34	54	58
0610039K10Rik	0610039K10Rik	65	54	70	69	85	76	87	113
0610040B10Rik	0610040B10Rik	101	109	107	118	12	21	11	5
0610040F04Rik	0610040F04Rik	70	38	61	100	15	4	15	36
0610040J01Rik	0610040J01Rik	88	73	106	96	18	16	15	13
0610043K17Rik	0610043K17Rik	14	18	13	15	89	26	55	87
0910001L09Rik	0910001L09Rik	1306	1052	1469	1512	93	87	97	111
100043387	100043387	38	41	24	21	20	5	6	13
1100001G20Rik	1100001G20Rik	0	0	0	0	0	0	0	0
1110001A16Rik	1110001A16Rik	888	711	905	1129	187	98	113	185
1110001J03Rik	1110001J03Rik	1018	756	1047	1217	55	42	39	46
1110002B05Rik	1110002B05Rik	2179	1752.32	2364.88	2293	150	108	119.09	132.484
1110002L01Rik	1110002L01Rik	3531	3009	3607	4275	757	603	912	858
1110002N22Rik	1110002N22Rik	197	186	237	271	35	40	57	53
1110003E01Rik	1110003E01Rik	5661	4709	6215	6725	613	445	507	583
1110004E09Rik	1110004E09Rik	1215	1058	1377	1383	557	377	393	451
1110004F10Rik	1110004F10Rik	6184	5234	6495	7386	1763	1076	1398	1558
1110005A03Rik	1110005A03Rik	311	239	314	360	34	25	26	28
1110006O24Rik	1110006O24Rik	36	28	50	69	10	12	6	12
1110007C09Rik	1110007C09Rik	330	246	348	340	36	52	51	47
1110008F13Rik	1110008F13Rik	456	399	579	692	143	108	131	157
1110008J03Rik	1110008J03Rik	689	571	765	903	151	101	143	170
1110008L16Rik	1110008L16Rik	378	294	316	371	113	129	167	173
1110008P14Rik	1110008P14Rik	1696	1434	1922	2148	221	126	134	160
1110012J17Rik	1110012J17Rik	1403	1103	1466	1710	1598	1543	2288	2179
1110012L19Rik	1110012L19Rik	572	496	589	736	74	37	64	57
1110014N23Rik	1110014N23Rik	1150	983	1134	1543	312	320	435	453
1110015O18Rik	1110015O18Rik	164	128	170	219	27	11	19	40
1110017D15Rik	1110017D15Rik	181	146	197	184	17	28	17	27
1110017F19Rik	1110017F19Rik	6	2	1	1	18	28	17	20
1110018G07Rik	1110018G07Rik	1951	1643	2000	2392	738	778	1137	1178
1110018J18Rik	1110018J18Rik	173	137	138	177	94	71	96	81
1110019D14Rik	1110019D14Rik	57	62	69	76	18	1	25	15
1110020A21Rik	1110020A21Rik	39	24	37	33	10.0001	14.0019	13	7
1110020G09Rik	1110020G09Rik	2270	1961	2419	2420	644	423	633	612
1110021J02Rik	1110021J02Rik	1038	871	1088	1267	453	430	657	664
1110021L09Rik	1110021L09Rik	437	305	631	575	135	103	181	173
1110028C15Rik	1110028C15Rik	533	508	593	655	368	225	317	386
1110028F11Rik	1110028F11Rik	2	0	1	2	7	2	6	7
1110028F18Rik	1110028F18Rik	0	0	0	0	0	0	0	0
1110031I02Rik	1110031I02Rik	121	106	175	207	45	63	47	40
1110032A03Rik	1110032A03Rik	1591	1438	1903	2023	378	259	297	373
1110032A04Rik	1110032A04Rik	209	153	231	245	18	16	16	29
1110032F04Rik	1110032F04Rik	198	177	217	289	32	47	52	49
1110034A24Rik	1110034A24Rik	232	178	248	312	79	77	67	121
1110034B05Rik	1110034B05Rik	465	329	450	493	78	61	86	112
1110034G24Rik	1110034G24Rik	282	246	296	378	41	18	36	31
1110035M17Rik	1110035M17Rik	23	41	48	62	8	3	6	10
1110036E04Rik	1110036E04Rik	0	0	2	1	0	0	0	0
1110037F02Rik	1110037F02Rik	891	876	916	1100	849	1051	1345	1481
1110038B12Rik	1110038B12Rik	459	337	444	537	21	68	48	43
1110038D17Rik	1110038D17Rik	532	442	611	731	229	187	265	276
1110038F14Rik	1110038F14Rik	644	599	657	746	176	132	178	171
1110046J04Rik	1110046J04Rik	132	94.0014	166	180	23.0009	31	61	60
1110049F12Rik	1110049F12Rik	7314	6078	8367	9123	1259	908	1089	1272
1110050K14Rik	1110050K14Rik	9	2	8	10	13	16	5	12
1110051M20Rik	1110051M20Rik	4620	4048	5045	5759	782	688	958	943
1110054M08Rik	1110054M08Rik	131	110	161.004	188	11.0002	10	12.0016	13
1110054O05Rik	1110054O05Rik	488	400	529	599	62	85	106	79
1110057K04Rik	1110057K04Rik	1332	1086	1456	1510	254	211	271	293
1110058L19Rik	1110058L19Rik	1235	1029	1388	1486	156	105	147	153
1110059E24Rik	1110059E24Rik	1687	1389	1712	1949	215	159	207	235
