Gene ID	T_rep 1	T_rep 2	T_rep 3	T_rep 4	C_rep 1	C_rep 2	C_rep 3	C_rep 4	log2
Dpysl2	199.827	197.743	186.46	215.911	53.9482	51.711	52.5325	55.472	
Calr	152.904	195.291	168.517	159.973	62.9099	61.7315	70.7902	66.8241	
Psip1	170.112	188.071	169.797	181.634	65.3742	77.8686	101.403	77.2499	
Hspa9	134.296	170.957	183.271	158.943	66.4407	81.1304	79.3481	74.6102	
Luc7l3	100.6	140.397	141.037	127.872	41.1917	46.7981	61.0359	52.6584	
Zfr	123.198	146.692	153.004	162.527	68.9475	75.8054	89.6303	72.8693	
Syt1	137.406	129.669	162.828	178.138	77.5332	76.1024	88.9914	91.2227	
Kif5c	122.679	133.581	131.013	146.892	62.3545	65.9368	75.3466	66.4902	
Ddx24	106.078	125.662	121.403	130.598	55.905	58.5541	55.5896	54.4607	
Csde1	111.422	136.83	154.122	133.745	63.9434	75.899	91.0942	74.4636	
Hsph1	118.692	124.705	134.591	128.158	64.9511	73.5077	80.7717	70.7276	
Scd2	199.66	201.255	184.616	197.464	142.501	142.844	134.205	149.72	
Kifap3	82.3351	102.861	125.715	131.226	53.1349	62.5439	64.9453	58.0411	
Cct6a	125.327	146.109	126.204	121.734	74.5997	86.2796	90.6327	77.2423	
Atp6v0a1	100.336	95.3982	97.8412	129.705	62.1209	57.9801	51.7807	61.6251	
Mtap7d2	133.694	121.491	102.385	148.536	72.3355	77.5642	87.4313	80.4162	
Smarca2	118.534	156.857	145.512	169.645	92.2531	99.543	125.217	108.39	
Gdi2	133.457	153.332	154.586	176.885	97.7055	118.59	127.439	111.924	
Cyfip2	132.242	116.736	119.463	156.293	93.0468	94.43	84.1896	91.1438	
Eps15	66.0341	93.9651	105.734	89.4491	41.7612	51.0103	59.397	48.2794	
Spag9	83.6485	93.8716	105.757	91.8562	48.3941	54.727	65.7496	54.8168	
Ik	97.0885	127.074	97.5529	121.984	65.8065	75.6174	77.7024	73.6973	
Rsrc2	89.1788	114.08	98.1858	88.5157	50.7488	58.1452	72.7917	57.8679	
Nisch	90.7075	87.8848	76.5852	120.124	62.9598	61.1211	46.0064	58.7909	
6820431F20Rik	111.493	126.954	158.76	131.875	78.5632	88.3178	126.749	89.0816	
Tcp1	134.739	148.76	156.109	141.25	99.7072	107.752	126.867	102.012	
Dctn1	110.18	112.042	87.0113	136.01	84.1084	77.849	62.3834	79.5731	
Tmod2	91.8706	79.7377	99.2547	97.7773	51.7356	58.7414	64.0142	57.858	
Peg10	78.8729	101.261	96.0569	99.9564	57.8591	63.4743	65.778	54.8886	
Caprin1	77.4218	94.5225	88.3839	101.838	48.7456	62.8206	62.8578	58.7834	
Smarcc2	95.282	87.0489	68.8728	108.053	61.7567	59.1773	53.3235	59.1485	
Vps35	56.4787	84.3335	105.692	81.4842	42.5459	53.5172	58.9929	48.7589	
St13	101.169	111.081	97.1009	109.467	71.9845	76.125	77.1155	70.3886	
Rbm39	102.045	124.222	110.527	126.136	73.8971	83.1585	101.012	85.2992	
Clstn1	95.652	88.9686	74.7469	95.1479	63.8982	54.0138	52.1035	66.8673	
Usp22	91.3778	93.3934	95.8094	109.081	67.4637	72.3237	62.7996	70.1766	
Tmem30a	115.377	116.477	109.554	129.132	78.2029	81.3691	113.785	92.4783	
Camk2a	98.5819	100.444	97.8939	129.198	86.0446	81.0685	72.8027	84.9012	
Mapk10	80.0086	71.0493	73.065	80.3533	47.5626	53.0564	50.8749	53.8454	
Sec62	88.238	77.8569	66.7273	75.3609	45.1083	50.1889	60.2283	53.7447	
Clasp2	67.6699	70.7129	89.3082	80.8256	47.9118	54.3144	55.2418	52.4502	
Dld	67.0965	97.8388	101.864	69.2029	49.221	63.5342	69.1705	58.0142	
Gnl3l	89.2481	95.3627	118.023	113.048	74.5296	85.6061	80.6393	80.8876	
Spin1	149.164	111.19	106.729	134.231	93.2295	102.537	111.731	101.309	
Scrn1	84.9352	89.3281	81.9761	96.0047	64.9367	72.6822	58.1951	64.8017	
