test_id	ncbi_gene_link	gene_symbol	gene_id	gene_desc	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant	linear_fold_change	"diff_exp
Prlh	Prlh	Prlh	623503	prolactin releasing hormone	chr1:90953107-90954012	pomc	nonpomc	OK	0	4.147	inf		5.00E-05	8.69E-05	yes	inf	Yes
Defb25	Defb25	Defb25	654459	defensin beta 25	chr2:152622355-152623053	pomc	nonpomc	OK	0	0.700	inf		4.35E-03	6.37E-03	yes	inf	Yes
Gm11428	Gm11428	Gm11428	.	.	chr11:83704055-83706269	pomc	nonpomc	OK	0	0.668	inf		5.00E-05	8.69E-05	yes	inf	Yes
Plac8	Plac8	Plac8	231507	placenta-specific 8	chr5:100553732-100572205	pomc	nonpomc	OK	0	0.437	inf		5.00E-05	8.69E-05	yes	inf	Yes
Vpreb3	Vpreb3	Vpreb3	22364	pre-B lymphocyte gene 3	chr10:75948311-75949646	pomc	nonpomc	OK	0	0.623	inf		5.00E-05	8.69E-05	yes	inf	Yes
Ifitm6	Ifitm6	Ifitm6	213002	interferon induced transmembrane protein 6	chr7:141015811-141016892	pomc	nonpomc	OK	0	0.906	inf		5.00E-05	8.69E-05	yes	inf	Yes
Hmga1-rs1	Hmga1-rs1	Hmga1-rs1	111241	"high mobility group AT-hook I, related sequence 1"	chr17:27556573-27563672	pomc	nonpomc	OK	0.002	77.238	15.618	0.524	2.93E-02	3.90E-02	yes	50290.560	Yes
Ctf1	Ctf1	Ctf1	13019	cardiotrophin 1	chr7:127712735-127718185	pomc	nonpomc	OK	0.085	2.216	4.697	4.000	5.00E-05	8.69E-05	yes	25.932	Yes
Kiss1	Kiss1	Kiss1	280287	KiSS-1 metastasis-suppressor	chr1:133327211-133329722	pomc	nonpomc	OK	0.120	2.571	4.422	2.408	1.19E-02	1.66E-02	yes	21.433	Yes
Atp5g3	Atp5g3	Atp5g3	228033	"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)"	chr2:73908449-73911294	pomc	nonpomc	OK	63.446	1096.390	4.111	20.357	5.00E-05	8.69E-05	yes	17.281	Yes
